City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mt. Pleasant,32.7941,-79.8626,55.4,67,1,9.22,US,1616159024
Uusikaupunki,60.8004,21.4084,28.4,40,0,8.05,FI,1616159142
Saint George,37.1041,-113.5841,46.4,61,1,2.39,US,1616159143
Kamloops,50.6665,-120.3192,44.6,53,40,9.22,CA,1616159143
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Qaanaaq,77.484,-69.3632,-10.03,76,100,4.07,GL,1616159144
Merke,42.8728,73.1786,52.84,43,53,7.65,KZ,1616159144
Avarua,-21.2078,-159.775,77.0,88,20,8.05,CK,1616159144
Qaanaaq,77.484,-69.3632,-10.03,76,100,4.07,GL,1616159144
Coquimbo,-29.9533,-71.3436,62.6,67,0,4.61,CL,1616159145
Fortuna,40.5982,-124.1573,42.01,100,40,8.05,US,1616159145
East London,-33.0153,27.9116,66.2,88,75,17.27,ZA,1616159145
Akropong,5.9746,-0.0854,89.6,48,20,9.22,GH,1616159021
Manado,1.487,124.8455,77.0,94,20,2.3,ID,1616158866
Saskylakh,71.9167,114.0833,-28.75,95,0,8.12,RU,1616159146
Mount Gambier,-37.8333,140.7667,60.8,88,0,6.91,AU,1616159146
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Zaozyornoye,45.1582,33.2787,48.0,49,29,3.0,UA,1616159147
Norman Wells,65.282,-126.8329,-2.2,84,75,13.8,CA,1616159147
Ponta do Sol,32.6667,-17.1,64.99,52,20,24.16,PT,1616159147
Narasannapeta,18.4167,84.05,79.59,61,100,7.7,IN,1616159147
Hereford,52.0568,-2.7148,51.01,79,99,1.01,GB,1616158939
Carnarvon,-24.8667,113.6333,82.4,65,0,9.22,AU,1616159148
Sergeevka,53.88,67.4158,31.15,80,100,10.85,KZ,1616159148
Arraial do Cabo,-22.9661,-42.0278,84.2,70,20,6.91,BR,1616159148
Barrow,71.2906,-156.7887,-4.0,71,90,3.44,US,1616159149
Codrington,-38.2667,141.9667,60.55,87,0,8.46,AU,1616159149
Ponta do Sol,32.6667,-17.1,64.99,52,20,24.16,PT,1616159147
Makushino,55.2103,67.2442,31.28,84,100,11.65,RU,1616159149
Kysyl-Syr,63.8986,122.7617,19.85,94,100,7.25,RU,1616159149
Berlevåg,70.8578,29.0864,21.2,86,100,49.48,NO,1616159150
Saldanha,-33.0117,17.9442,73.4,69,0,17.27,ZA,1616159150
Beyneu,45.3167,55.2,43.54,65,100,24.47,KZ,1616159150
Atuona,-9.8,-139.0333,79.68,75,88,12.84,PF,1616159136
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Vaini,-21.2,-175.2,75.2,94,20,2.3,TO,1616159151
Tuatapere,-46.1333,167.6833,55.0,88,100,5.01,NZ,1616159151
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Sisimiut,66.9395,-53.6735,20.59,74,100,19.37,GL,1616158858
Faanui,-16.4833,-151.75,81.99,67,5,5.7,PF,1616159152
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Preobrazheniye,42.9019,133.9064,35.06,63,43,5.77,RU,1616159152
Ostrovnoy,68.0531,39.5131,10.98,80,0,13.53,RU,1616159153
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Esperance,-33.8667,121.9,71.6,64,0,12.66,AU,1616159154
Tura,25.5198,90.2201,75.63,25,19,3.18,IN,1616159154
Camocim,-2.9022,-40.8411,82.26,78,62,9.42,BR,1616159154
Upernavik,72.7868,-56.1549,4.12,82,100,2.84,GL,1616159155
Lagoa,39.05,-27.9833,59.2,81,13,15.12,PT,1616159155
Port Lincoln,-34.7333,135.8667,67.69,71,0,14.34,AU,1616159155
Coyhaique,-45.5752,-72.0662,48.2,76,75,3.44,CL,1616159155
Airai,-8.9266,125.4092,60.28,91,98,1.34,TL,1616159155
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Esperance,-33.8667,121.9,71.6,64,0,12.66,AU,1616159154
Hithadhoo,-0.6,73.0833,81.64,76,100,14.92,MV,1616159156
Qaanaaq,77.484,-69.3632,-10.03,76,100,4.07,GL,1616159144
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Verkhoyansk,67.5447,133.385,9.27,74,100,10.56,RU,1616159157
Kyra,49.5776,111.9753,13.91,82,29,4.59,RU,1616159027
Hanna,51.6334,-111.9018,46.4,65,100,4.61,CA,1616159157
Mogocha,53.7333,119.7667,16.81,93,100,1.88,RU,1616159157
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Hobart,-42.8794,147.3294,60.01,87,0,4.59,AU,1616159087
Chui,-33.6971,-53.4616,67.39,58,0,4.45,UY,1616159137
Along,28.1667,94.7667,71.71,49,13,1.28,IN,1616159158
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Hilo,19.7297,-155.09,66.2,82,75,4.5,US,1616159142
Arlit,18.7369,7.3853,100.78,7,1,9.4,NE,1616159159
Fallon,39.4735,-118.7774,46.99,61,75,6.91,US,1616159159
Torbay,47.6666,-52.7314,39.0,93,90,29.93,CA,1616159160
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Avarua,-21.2078,-159.775,77.0,88,20,8.05,CK,1616159144
Puerto Ayora,-0.7393,-90.3518,77.0,91,63,3.36,EC,1616159136
Erie,42.7667,-78.6664,28.0,54,0,14.18,US,1616159161
Lorengau,-2.0226,147.2712,81.05,75,32,3.02,PG,1616159138
Yeppoon,-23.1333,150.7333,75.2,88,40,5.75,AU,1616159161
Phonhong,18.5007,102.4166,87.8,66,78,0.69,LA,1616159161
Castro,-24.7911,-50.0119,69.26,80,43,10.04,BR,1616159162
Vaini,-21.2,-175.2,75.2,94,20,2.3,TO,1616159151
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Butaritari,3.0707,172.7902,80.94,80,100,8.86,KI,1616159141
Hilo,19.7297,-155.09,66.2,82,75,4.5,US,1616159142
Mehamn,71.0357,27.8492,24.8,93,75,34.52,NO,1616159164
Cabo San Lucas,22.8909,-109.9124,55.99,50,1,5.75,MX,1616159164
Kelvington,52.1667,-103.5343,37.4,60,0,13.8,CA,1616159164
Butaritari,3.0707,172.7902,80.94,80,100,8.86,KI,1616159141
Bredasdorp,-34.5322,20.0403,73.0,58,100,5.01,ZA,1616159165
Barrow,71.2906,-156.7887,-4.0,71,90,3.44,US,1616159149
Longyearbyen,78.2186,15.6401,28.4,86,75,4.61,SJ,1616159165
Isangel,-19.55,169.2667,76.59,82,100,12.64,VU,1616159166
Port Elizabeth,-33.918,25.5701,66.2,88,90,9.22,ZA,1616159166
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Saint-Philippe,-21.3585,55.7679,82.99,74,90,23.02,RE,1616159130
Tasiilaq,65.6145,-37.6368,28.4,86,20,9.22,GL,1616159130
Rawson,-43.3002,-65.1023,69.91,35,0,12.48,AR,1616159167
Lompoc,34.6391,-120.4579,52.0,93,1,5.75,US,1616159168
Ayan,56.45,138.1667,10.99,68,0,9.08,RU,1616159168
Taltal,-25.4,-70.4833,66.52,75,74,2.19,CL,1616159168
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Ialibu,-6.2821,143.9935,57.06,94,99,2.08,PG,1616159169
Tāybād,34.74,60.7756,67.35,47,100,12.88,IR,1616159169
Kaitangata,-46.2817,169.8464,48.63,91,100,6.58,NZ,1616159169
Bredasdorp,-34.5322,20.0403,73.0,58,100,5.01,ZA,1616159165
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Carnarvon,-24.8667,113.6333,82.4,65,0,9.22,AU,1616159148
Nikolskoye,59.7035,30.7861,23.0,63,75,8.95,RU,1616159132
Maceió,-9.6658,-35.7353,84.2,70,40,14.97,BR,1616159171
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Khatanga,71.9667,102.5,-29.51,96,100,5.53,RU,1616159136
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Ahipara,-35.1667,173.1667,57.13,84,1,7.65,NZ,1616159172
Muros,42.7762,-9.0603,57.99,63,4,15.21,ES,1616159172
Taoudenni,22.6783,-3.9836,94.98,5,0,13.76,ML,1616159173
Butaritari,3.0707,172.7902,80.94,80,100,8.86,KI,1616159141
Neyshabur,36.2133,58.7958,70.32,25,85,13.67,IR,1616159174
Kaitangata,-46.2817,169.8464,48.63,91,100,6.58,NZ,1616159169
Rovaniemi,66.5,25.7167,19.4,58,0,19.57,FI,1616159174
Puerto Ayora,-0.7393,-90.3518,77.0,91,63,3.36,EC,1616159136
Okha,53.5739,142.9478,12.36,90,0,10.49,RU,1616159175
Vallenar,-28.5708,-70.7581,64.63,66,98,5.48,CL,1616159175
Arraial do Cabo,-22.9661,-42.0278,84.2,70,20,6.91,BR,1616159148
Bilma,18.6853,12.9164,102.24,7,27,4.88,NE,1616159176
Abu Kamal,34.4506,40.9171,68.05,30,23,6.96,SY,1616159176
Sola,-13.8833,167.55,81.57,77,90,10.89,VU,1616159176
Västerås,59.6162,16.5528,36.0,38,0,11.5,SE,1616159176
Dikson,73.5069,80.5464,-31.23,96,0,8.08,RU,1616159177
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Feijó,-8.1642,-70.3536,76.89,90,86,0.89,BR,1616159177
George Town,5.4112,100.3354,86.0,48,40,5.75,MY,1616159178
Hong Kong,22.2855,114.1577,75.0,84,0,9.78,HK,1616158935
Kościerzyna,54.1223,17.9812,32.0,74,75,14.97,PL,1616159178
Montepuez,-13.1256,38.9997,81.25,73,35,5.01,MZ,1616159178
Wajid,3.8093,43.2471,94.42,32,96,13.47,SO,1616159179
Cayenne,4.9333,-52.3333,86.0,62,90,9.22,GF,1616159179
Saint-Philippe,-21.3585,55.7679,82.99,74,90,23.02,RE,1616159130
Bagadó,5.4116,-76.4152,77.27,80,38,0.72,CO,1616159179
Alofi,-19.0595,-169.9187,75.2,94,100,5.75,NU,1616159180
Bluff,-46.6,168.3333,55.0,88,100,5.01,NZ,1616159142
Nyagan,62.1406,65.3936,26.98,95,92,3.94,RU,1616159180
Kodīnar,20.7903,70.7031,78.71,63,0,14.25,IN,1616159180
Yenagoa,4.9247,6.2642,79.54,84,100,7.54,NG,1616158926
Seagoville,32.6396,-96.5383,44.01,75,1,10.36,US,1616159181
Ancud,-41.8697,-73.8203,50.0,100,90,2.3,CL,1616159181
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Lomovka,53.9194,58.3672,23.0,100,90,8.95,RU,1616159182
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Hithadhoo,-0.6,73.0833,81.64,76,100,14.92,MV,1616159156
Madang,-5.2246,145.7966,78.37,83,100,2.15,PG,1616159182
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Mossamedes,-15.1961,12.1522,77.65,69,9,11.79,AO,1616159183
Torbay,47.6666,-52.7314,39.0,93,90,29.93,CA,1616159160
Avarua,-21.2078,-159.775,77.0,88,20,8.05,CK,1616159144
Petrov Val,50.1434,45.2096,32.04,82,98,13.62,RU,1616159184
Blackwater,-23.5833,148.8833,73.49,87,100,7.45,AU,1616159184
Iqaluit,63.7506,-68.5145,-20.0,63,20,17.27,CA,1616159184
Bardejov,49.2918,21.2727,35.01,36,100,67.0,SK,1616158938
Teahupoo,-17.8333,-149.2667,78.8,83,40,4.61,PF,1616159185
Barrow,71.2906,-156.7887,-4.0,71,90,3.44,US,1616159149
Boa Vista,2.8197,-60.6733,82.4,57,0,16.11,BR,1616159185
George Town,5.4112,100.3354,86.0,48,40,5.75,MY,1616159178
Arraial do Cabo,-22.9661,-42.0278,84.2,70,20,6.91,BR,1616159148
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Srednekolymsk,67.45,153.6833,-26.84,97,0,3.22,RU,1616159186
East London,-33.0153,27.9116,66.2,88,75,17.27,ZA,1616159145
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
San Cristobal,7.7669,-72.225,73.4,100,75,2.3,VE,1616159145
Beya,53.0533,90.9139,21.49,81,0,4.18,RU,1616159187
Puerto Ayora,-0.7393,-90.3518,77.0,91,63,3.36,EC,1616159136
Barrow,71.2906,-156.7887,-4.0,71,90,3.44,US,1616159149
Kumul,42.8,93.45,36.79,23,0,4.23,CN,1616159188
Atuona,-9.8,-139.0333,79.68,75,88,12.84,PF,1616159136
Mar del Plata,-38.0023,-57.5575,61.0,82,0,11.5,AR,1616159188
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Grande Prairie,55.1667,-118.8027,37.4,81,90,8.05,CA,1616159188
Mahébourg,-20.4081,57.7,84.2,70,40,9.22,MU,1616159135
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Guerrero Negro,27.9769,-114.0611,55.65,86,0,9.26,MX,1616159189
Kavaratti,10.5669,72.642,84.09,68,7,8.9,IN,1616159189
Longyearbyen,78.2186,15.6401,28.4,86,75,4.61,SJ,1616159165
Atuona,-9.8,-139.0333,79.68,75,88,12.84,PF,1616159136
Atuona,-9.8,-139.0333,79.68,75,88,12.84,PF,1616159136
Bengkulu,-3.8004,102.2655,77.16,91,100,4.85,ID,1616159191
Bonavista,48.6499,-53.1147,41.0,93,100,6.91,CA,1616159191
Provideniya,64.3833,-173.3,-10.8,95,1,10.94,RU,1616159191
Dhidhdhoo,6.8833,73.1,83.46,68,25,7.76,MV,1616159191
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Kapaa,22.0752,-159.319,69.8,83,90,13.8,US,1616159192
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Lazarev,52.225,141.5131,10.42,83,26,0.92,RU,1616159192
Avera,33.194,-82.5271,50.0,71,1,12.66,US,1616159192
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Swellendam,-34.0226,20.4417,68.0,65,94,12.08,ZA,1616159194
Voloshka,61.3314,40.0858,23.52,89,96,5.64,RU,1616159194
Flinders,-34.5833,150.8552,70.0,89,100,1.01,AU,1616159194
Pangnirtung,66.1451,-65.7125,-13.0,64,20,2.3,CA,1616159194
Hamilton,39.1834,-84.5333,35.01,51,40,21.85,US,1616159194
Bredasdorp,-34.5322,20.0403,73.0,58,100,5.01,ZA,1616159165
Lillooet,50.6856,-121.942,42.8,75,40,13.8,CA,1616159195
Katsuura,35.1333,140.3,55.4,71,75,10.36,JP,1616159195
Junction City,39.0286,-96.8314,30.99,86,1,3.44,US,1616159195
Sharan,54.8167,54.0,30.81,95,100,12.53,RU,1616159196
Kenai,60.5544,-151.2583,-7.6,84,1,3.44,US,1616159196
Bilma,18.6853,12.9164,102.24,7,27,4.88,NE,1616159176
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Roald,62.5833,6.1333,45.0,81,75,16.11,NO,1616159196
Slave Lake,55.2834,-114.769,28.4,93,1,2.3,CA,1616159197
Hilo,19.7297,-155.09,66.2,82,75,4.5,US,1616159142
Nemuro,43.3236,145.575,28.36,77,0,14.23,JP,1616158904
Nanortalik,60.1432,-45.2371,28.54,75,99,9.84,GL,1616159197
Hasaki,35.7333,140.8333,51.8,71,75,5.75,JP,1616159198
Vaini,-21.2,-175.2,75.2,94,20,2.3,TO,1616159151
Carnarvon,-24.8667,113.6333,82.4,65,0,9.22,AU,1616159148
Bairiki Village,1.3292,172.9752,80.6,83,20,4.61,KI,1616159198
George Town,5.4112,100.3354,86.0,48,40,5.75,MY,1616159178
Parrita,9.5201,-84.3225,73.4,73,0,11.5,CR,1616159199
Tasiilaq,65.6145,-37.6368,28.4,86,20,9.22,GL,1616159130
Tatishchevo,51.6703,45.5953,29.03,89,100,14.45,RU,1616159199
Te Anau,-45.4167,167.7167,44.62,95,59,2.1,NZ,1616159199
Ixtapa,20.7,-105.2,61.0,94,1,2.21,MX,1616159200
Atuona,-9.8,-139.0333,79.68,75,88,12.84,PF,1616159136
Celestún,20.8667,-90.4,73.36,75,0,16.67,MX,1616159201
Bilma,18.6853,12.9164,102.24,7,27,4.88,NE,1616159176
Sunbury,-37.5833,144.7333,64.0,82,0,4.61,AU,1616158926
Airai,-8.9266,125.4092,60.28,91,98,1.34,TL,1616159155
Mahébourg,-20.4081,57.7,84.2,70,40,9.22,MU,1616159135
Leh,34.1667,77.5833,29.1,46,16,2.98,IN,1616159202
Castro,-24.7911,-50.0119,69.26,80,43,10.04,BR,1616159162
Hasaki,35.7333,140.8333,51.8,71,75,5.75,JP,1616159198
Mudgee,-32.5943,149.5871,64.4,72,40,13.8,AU,1616159203
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Kununurra,-15.7667,128.7333,75.2,100,75,4.61,AU,1616159203
Beloha,-25.1667,45.05,87.87,49,40,12.28,MG,1616159203
Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,100,90,8.95,RU,1616159203
Provideniya,64.3833,-173.3,-10.8,95,1,10.94,RU,1616159191
Satka,55.0425,59.04,27.91,92,100,7.18,RU,1616159204
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Saldanha,-33.0117,17.9442,73.4,69,0,17.27,ZA,1616159150
Caucaia,-3.7361,-38.6531,84.2,70,40,14.97,BR,1616159205
Bethel,41.3712,-73.414,28.99,40,1,16.11,US,1616159205
Clarksburg,39.2807,-80.3445,35.01,51,1,11.5,US,1616159205
Padang,-0.9492,100.3543,80.6,83,75,1.14,ID,1616158908
Flinders,-34.5833,150.8552,70.0,89,100,1.01,AU,1616159194
Butaritari,3.0707,172.7902,80.94,80,100,8.86,KI,1616159141
Tasiilaq,65.6145,-37.6368,28.4,86,20,9.22,GL,1616159130
Tasiilaq,65.6145,-37.6368,28.4,86,20,9.22,GL,1616159130
Chokurdakh,70.6333,147.9167,-21.06,76,99,8.25,RU,1616159207
Puerto Ayora,-0.7393,-90.3518,77.0,91,63,3.36,EC,1616159136
Muhos,64.808,25.9931,24.01,54,0,3.44,FI,1616159207
Srīvardhan,18.0333,73.0167,82.83,52,0,13.15,IN,1616159208
Saskylakh,71.9167,114.0833,-28.75,95,0,8.12,RU,1616159146
Vaini,-21.2,-175.2,75.2,94,20,2.3,TO,1616159151
Saint-Philippe,-21.3585,55.7679,82.99,74,90,23.02,RE,1616159130
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
Mar del Plata,-38.0023,-57.5575,61.0,82,0,11.5,AR,1616159188
Mangochi,-14.4782,35.2645,81.23,78,67,3.13,MW,1616159209
San Quintín,30.4833,-115.95,54.73,87,0,9.19,MX,1616159209
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Yellowknife,62.456,-114.3525,14.0,79,40,9.22,CA,1616159210
Moncarapacho,37.0886,-7.7872,64.4,34,0,12.66,PT,1616159210
Qaanaaq,77.484,-69.3632,-10.03,76,100,4.07,GL,1616159144
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Tarnogskiy Gorodok,60.4997,43.5761,26.04,91,100,7.0,RU,1616159211
Jackson,42.4165,-122.8345,37.0,93,20,3.09,US,1616159211
Hobart,-42.8794,147.3294,60.01,87,0,4.59,AU,1616159087
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Am Timan,11.0297,20.2827,104.68,15,97,9.89,TD,1616159212
Tual,-5.6667,132.75,84.2,68,26,7.4,ID,1616159212
Khatanga,71.9667,102.5,-29.51,96,100,5.53,RU,1616159136
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Tyazhinskiy,56.116,88.524,21.81,88,99,8.99,RU,1616159213
Barrow,71.2906,-156.7887,-4.0,71,90,3.44,US,1616159149
Padang,-0.9492,100.3543,80.6,83,75,1.14,ID,1616158908
Katangli,51.7102,143.2326,12.18,80,66,7.54,RU,1616159213
Bethel,41.3712,-73.414,28.99,40,1,16.11,US,1616159205
Hithadhoo,-0.6,73.0833,81.64,76,100,14.92,MV,1616159156
Vardø,70.3705,31.1107,23.0,80,75,37.98,NO,1616159214
Los Llanos de Aridane,28.6585,-17.9182,69.8,64,20,13.8,ES,1616159214
Broome,42.2506,-75.833,24.01,53,1,19.57,US,1616159215
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
Bathsheba,13.2167,-59.5167,80.6,57,40,14.97,BB,1616159215
Hasaki,35.7333,140.8333,51.8,71,75,5.75,JP,1616159198
Butaritari,3.0707,172.7902,80.94,80,100,8.86,KI,1616159141
Cidreira,-30.1811,-50.2056,73.4,67,99,7.16,BR,1616159216
Bambous Virieux,-20.3428,57.7575,84.2,70,40,9.22,MU,1616159216
Mahibadhoo,3.7833,72.9667,83.55,71,44,8.23,MV,1616159217
Saskylakh,71.9167,114.0833,-28.75,95,0,8.12,RU,1616159146
Mount Gambier,-37.8333,140.7667,60.8,88,0,6.91,AU,1616159146
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Ancud,-41.8697,-73.8203,50.0,100,90,2.3,CL,1616159181
Aklavik,68.2191,-135.0107,-14.8,76,96,5.75,CA,1616159220
Barrow,71.2906,-156.7887,-4.0,71,90,3.44,US,1616159149
Rabo de Peixe,37.8,-25.5833,62.6,77,20,13.8,PT,1616159220
Saskylakh,71.9167,114.0833,-28.75,95,0,8.12,RU,1616159146
Nabire,-3.3667,135.4833,78.67,87,100,3.15,ID,1616159220
Port Alfred,-33.5906,26.891,71.96,78,94,16.28,ZA,1616159215
Nouadhibou,20.931,-17.0347,73.4,46,0,21.85,MR,1616159221
Castro,-24.7911,-50.0119,69.26,80,43,10.04,BR,1616159162
Mataura,-46.1927,168.8643,55.0,88,100,5.01,NZ,1616159156
West Point,33.6076,-88.6503,46.4,93,90,8.05,US,1616159222
Puerto Ayora,-0.7393,-90.3518,77.0,91,63,3.36,EC,1616159136
Bambous Virieux,-20.3428,57.7575,84.2,70,40,9.22,MU,1616159216
George Town,5.4112,100.3354,86.0,48,40,5.75,MY,1616159178
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Jamestown,42.097,-79.2353,28.0,58,1,16.35,US,1616159150
Souillac,-20.5167,57.5167,84.2,70,40,9.22,MU,1616159223
Thompson,55.7435,-97.8558,23.0,80,1,2.3,CA,1616159134
Talnakh,69.4865,88.3972,-18.92,94,94,7.78,RU,1616159224
Dvinskoy Bereznik,62.8551,42.7072,20.08,89,100,6.76,RU,1616159224
Paamiut,61.994,-49.6678,25.68,63,100,16.87,GL,1616159224
Qaanaaq,77.484,-69.3632,-10.03,76,100,4.07,GL,1616159144
Ribeira Grande,38.5167,-28.7,64.4,82,40,18.41,PT,1616159225
Dikson,73.5069,80.5464,-31.23,96,0,8.08,RU,1616159177
Constitución,-35.3333,-72.4167,57.79,73,75,4.97,CL,1616159225
Lang Son,21.8333,106.7333,74.84,75,16,6.24,VN,1616159226
Port Macquarie,-31.4333,152.9167,71.6,94,75,14.97,AU,1616159120
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Batagay,67.6333,134.6333,3.15,87,76,5.64,RU,1616159226
Māngrol,21.1167,70.1167,78.13,69,0,13.0,IN,1616159226
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Mahon,39.8885,4.2658,48.2,57,40,17.27,ES,1616159227
Constitución,-35.3333,-72.4167,57.79,73,75,4.97,CL,1616159225
Mahébourg,-20.4081,57.7,84.2,70,40,9.22,MU,1616159135
Bredasdorp,-34.5322,20.0403,73.0,58,100,5.01,ZA,1616159165
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Punta Arenas,-53.15,-70.9167,51.8,76,75,8.05,CL,1616159151
